,place_name,review,rating
462,카페키이로,빵이 맛있어요,
463,카페키이로,친절해요,104
464,카페키이로,인테리어가 멋져요,
465,카페키이로,매장이 청결해요,
466,카페키이로,뷰가 좋아요,
467,카페키이로,음료가 맛있어요,67
468,카페키이로,사진이 잘 나와요,
469,카페키이로,특별한 메뉴가 있어요,95
470,카페키이로,대화하기 좋아요,
471,카페키이로,가성비가 좋아요,
472,카페키이로,집중하기 좋아요,
473,카페키이로,화장실이 깨끗해요,
474,카페키이로,주차하기 편해요,
475,카페키이로,좌석이 편해요,
476,카페키이로,음식이 맛있어요,
477,카페키이로,매장이 넓어요,
478,카페키이로,단체모임 하기 좋아요,
479,카페키이로,특별한 날 가기 좋아요,
480,카페키이로,재료가 신선해요,
481,카페키이로,양이 많아요,
482,카페키이로,혼밥하기 좋아요,
483,도트블랭킷,커피가 맛있어요,
484,도트블랭킷,디저트가 맛있어요,
485,도트블랭킷,빵이 맛있어요,
486,도트블랭킷,친절해요,150
487,도트블랭킷,인테리어가 멋져요,131
488,도트블랭킷,매장이 청결해요,111
489,도트블랭킷,뷰가 좋아요,
490,도트블랭킷,음료가 맛있어요,
491,도트블랭킷,사진이 잘 나와요,
492,도트블랭킷,특별한 메뉴가 있어요,
493,도트블랭킷,대화하기 좋아요,
494,도트블랭킷,가성비가 좋아요,
495,도트블랭킷,집중하기 좋아요,
496,도트블랭킷,화장실이 깨끗해요,
497,도트블랭킷,주차하기 편해요,
498,도트블랭킷,좌석이 편해요,
499,도트블랭킷,음식이 맛있어요,461
500,도트블랭킷,매장이 넓어요,
501,도트블랭킷,단체모임 하기 좋아요,
502,도트블랭킷,특별한 날 가기 좋아요,
503,도트블랭킷,재료가 신선해요,241
504,도트블랭킷,양이 많아요,
505,도트블랭킷,혼밥하기 좋아요,
506,서울서 둘째로잘하는집,커피가 맛있어요,
507,서울서 둘째로잘하는집,디저트가 맛있어요,186
508,서울서 둘째로잘하는집,빵이 맛있어요,
509,서울서 둘째로잘하는집,친절해요,262
510,서울서 둘째로잘하는집,인테리어가 멋져요,
511,서울서 둘째로잘하는집,매장이 청결해요,
512,서울서 둘째로잘하는집,뷰가 좋아요,
513,서울서 둘째로잘하는집,음료가 맛있어요,88
514,서울서 둘째로잘하는집,사진이 잘 나와요,
515,서울서 둘째로잘하는집,특별한 메뉴가 있어요,400
516,서울서 둘째로잘하는집,대화하기 좋아요,
517,서울서 둘째로잘하는집,가성비가 좋아요,
518,서울서 둘째로잘하는집,집중하기 좋아요,
519,서울서 둘째로잘하는집,화장실이 깨끗해요,
520,서울서 둘째로잘하는집,주차하기 편해요,
521,서울서 둘째로잘하는집,좌석이 편해요,
522,서울서 둘째로잘하는집,음식이 맛있어요,
523,서울서 둘째로잘하는집,매장이 넓어요,
524,서울서 둘째로잘하는집,단체모임 하기 좋아요,
525,서울서 둘째로잘하는집,특별한 날 가기 좋아요,
526,서울서 둘째로잘하는집,재료가 신선해요,
527,서울서 둘째로잘하는집,양이 많아요,
528,서울서 둘째로잘하는집,혼밥하기 좋아요,
529,카페 하이웨스트 익선점,커피가 맛있어요,150
530,카페 하이웨스트 익선점,디저트가 맛있어요,312
531,카페 하이웨스트 익선점,빵이 맛있어요,
532,카페 하이웨스트 익선점,친절해요,
533,카페 하이웨스트 익선점,인테리어가 멋져요,157
534,카페 하이웨스트 익선점,매장이 청결해요,
535,카페 하이웨스트 익선점,뷰가 좋아요,
536,카페 하이웨스트 익선점,음료가 맛있어요,75
537,카페 하이웨스트 익선점,사진이 잘 나와요,
538,카페 하이웨스트 익선점,특별한 메뉴가 있어요,77
539,카페 하이웨스트 익선점,대화하기 좋아요,
540,카페 하이웨스트 익선점,가성비가 좋아요,
541,카페 하이웨스트 익선점,집중하기 좋아요,
542,카페 하이웨스트 익선점,화장실이 깨끗해요,
543,카페 하이웨스트 익선점,주차하기 편해요,
544,카페 하이웨스트 익선점,좌석이 편해요,
545,카페 하이웨스트 익선점,음식이 맛있어요,
546,카페 하이웨스트 익선점,매장이 넓어요,
547,카페 하이웨스트 익선점,단체모임 하기 좋아요,
548,카페 하이웨스트 익선점,특별한 날 가기 좋아요,
549,카페 하이웨스트 익선점,재료가 신선해요,
550,카페 하이웨스트 익선점,양이 많아요,
551,카페 하이웨스트 익선점,혼밥하기 좋아요,
552,대충유원지 인왕산,커피가 맛있어요,47
