,place_name,review,rating,0
814,카페노티드 성수,특별한 메뉴가 있어요,507.0,False
828,하루노유키,커피가 맛있어요,47.0,False
830,하루노유키,빵이 맛있어요,98.0,False
831,하루노유키,친절해요,54.0,False
835,하루노유키,음료가 맛있어요,48.0,False
837,하루노유키,특별한 메뉴가 있어요,62.0,False
851,마크69,커피가 맛있어요,113.0,False
852,마크69,디저트가 맛있어요,49.0,False
855,마크69,인테리어가 멋져요,103.0,False
858,마크69,음료가 맛있어요,52.0,False
861,마크69,대화하기 좋아요,46.0,False
877,맛차차,친절해요,29.0,False
878,맛차차,인테리어가 멋져요,24.0,False
880,맛차차,뷰가 좋아요,31.0,False
881,맛차차,음료가 맛있어요,40.0,False
883,맛차차,특별한 메뉴가 있어요,30.0,False
897,아이오쓰리 성수사거리점,커피가 맛있어요,65.0,False
900,아이오쓰리 성수사거리점,친절해요,75.0,False
901,아이오쓰리 성수사거리점,인테리어가 멋져요,54.0,False
902,아이오쓰리 성수사거리점,매장이 청결해요,49.0,False
904,아이오쓰리 성수사거리점,음료가 맛있어요,64.0,False
920,브라운팟,커피가 맛있어요,191.0,False
921,브라운팟,디저트가 맛있어요,189.0,False
923,브라운팟,친절해요,90.0,False
927,브라운팟,음료가 맛있어요,66.0,False
929,브라운팟,특별한 메뉴가 있어요,58.0,False
943,플디 성수점,커피가 맛있어요,26.0,False
944,플디 성수점,디저트가 맛있어요,68.0,False
946,플디 성수점,친절해요,27.0,False
950,플디 성수점,음료가 맛있어요,22.0,False
952,플디 성수점,특별한 메뉴가 있어요,24.0,False
967,카페노티드 피치스,디저트가 맛있어요,954.0,False
969,카페노티드 피치스,친절해요,230.0,False
970,카페노티드 피치스,인테리어가 멋져요,480.0,False
974,카페노티드 피치스,사진이 잘 나와요,244.0,False
975,카페노티드 피치스,특별한 메뉴가 있어요,347.0,False
1012,비엔나커피하우스 서울숲역점,커피가 맛있어요,144.0,False
1013,비엔나커피하우스 서울숲역점,디저트가 맛있어요,57.0,False
1015,비엔나커피하우스 서울숲역점,친절해요,49.0,False
1019,비엔나커피하우스 서울숲역점,음료가 맛있어요,66.0,False
1022,비엔나커피하우스 서울숲역점,대화하기 좋아요,39.0,False
1035,훔볼트,커피가 맛있어요,238.0,True
1036,훔볼트,디저트가 맛있어요,250.0,True
1039,훔볼트,인테리어가 멋져요,126.0,True
1040,훔볼트,매장이 청결해요,71.0,True
1042,훔볼트,음료가 맛있어요,91.0,True
1058,업사이드커피 뚝섬점,커피가 맛있어요,117.0,True
1061,업사이드커피 뚝섬점,친절해요,53.0,True
1063,업사이드커피 뚝섬점,매장이 청결해요,26.0,True
1065,업사이드커피 뚝섬점,음료가 맛있어요,47.0,True
1067,업사이드커피 뚝섬점,특별한 메뉴가 있어요,22.0,True
