,place_name,review,rating
284,카페 레이어드 안국점,사진이 잘 나와요,
285,카페 레이어드 안국점,특별한 메뉴가 있어요,265
286,카페 레이어드 안국점,대화하기 좋아요,
287,카페 레이어드 안국점,가성비가 좋아요,
288,카페 레이어드 안국점,집중하기 좋아요,
289,카페 레이어드 안국점,화장실이 깨끗해요,
290,카페 레이어드 안국점,주차하기 편해요,
291,카페 레이어드 안국점,좌석이 편해요,
292,카페 레이어드 안국점,음식이 맛있어요,
293,카페 레이어드 안국점,매장이 넓어요,
294,카페 레이어드 안국점,단체모임 하기 좋아요,
295,카페 레이어드 안국점,특별한 날 가기 좋아요,
296,카페 레이어드 안국점,재료가 신선해요,
297,카페 레이어드 안국점,양이 많아요,
298,카페 레이어드 안국점,혼밥하기 좋아요,
299,나무사이로,커피가 맛있어요,106
300,나무사이로,디저트가 맛있어요,
301,나무사이로,빵이 맛있어요,
302,나무사이로,친절해요,31
303,나무사이로,인테리어가 멋져요,36
304,나무사이로,매장이 청결해요,
305,나무사이로,뷰가 좋아요,
306,나무사이로,음료가 맛있어요,22
307,나무사이로,사진이 잘 나와요,
308,나무사이로,특별한 메뉴가 있어요,
309,나무사이로,대화하기 좋아요,24
310,나무사이로,가성비가 좋아요,
311,나무사이로,집중하기 좋아요,
312,나무사이로,화장실이 깨끗해요,
313,나무사이로,주차하기 편해요,
314,나무사이로,좌석이 편해요,
315,나무사이로,음식이 맛있어요,
316,나무사이로,매장이 넓어요,
317,나무사이로,단체모임 하기 좋아요,
318,나무사이로,특별한 날 가기 좋아요,
319,나무사이로,재료가 신선해요,
320,나무사이로,양이 많아요,
321,나무사이로,혼밥하기 좋아요,
322,포비브라이트 광화문점,커피가 맛있어요,266
323,포비브라이트 광화문점,디저트가 맛있어요,
324,포비브라이트 광화문점,빵이 맛있어요,258
325,포비브라이트 광화문점,친절해요,82
326,포비브라이트 광화문점,인테리어가 멋져요,75
327,포비브라이트 광화문점,매장이 청결해요,
328,포비브라이트 광화문점,뷰가 좋아요,72
329,포비브라이트 광화문점,음료가 맛있어요,
330,포비브라이트 광화문점,사진이 잘 나와요,
331,포비브라이트 광화문점,특별한 메뉴가 있어요,
332,포비브라이트 광화문점,대화하기 좋아요,
333,포비브라이트 광화문점,가성비가 좋아요,
334,포비브라이트 광화문점,집중하기 좋아요,
335,포비브라이트 광화문점,화장실이 깨끗해요,
336,포비브라이트 광화문점,주차하기 편해요,
337,포비브라이트 광화문점,좌석이 편해요,
338,포비브라이트 광화문점,음식이 맛있어요,
339,포비브라이트 광화문점,매장이 넓어요,
340,포비브라이트 광화문점,단체모임 하기 좋아요,
341,포비브라이트 광화문점,특별한 날 가기 좋아요,
342,포비브라이트 광화문점,재료가 신선해요,
343,포비브라이트 광화문점,양이 많아요,
344,포비브라이트 광화문점,혼밥하기 좋아요,
345,H라운지,커피가 맛있어요,
346,H라운지,디저트가 맛있어요,
347,H라운지,빵이 맛있어요,
348,H라운지,친절해요,175
349,H라운지,인테리어가 멋져요,332
350,H라운지,매장이 청결해요,
351,H라운지,뷰가 좋아요,
352,H라운지,음료가 맛있어요,
353,H라운지,사진이 잘 나와요,
354,H라운지,특별한 메뉴가 있어요,
355,H라운지,대화하기 좋아요,
356,H라운지,가성비가 좋아요,
357,H라운지,집중하기 좋아요,
358,H라운지,화장실이 깨끗해요,
359,H라운지,주차하기 편해요,
360,H라운지,좌석이 편해요,
361,H라운지,음식이 맛있어요,473
362,H라운지,매장이 넓어요,324
363,H라운지,단체모임 하기 좋아요,176
364,H라운지,특별한 날 가기 좋아요,
365,H라운지,재료가 신선해요,
366,H라운지,양이 많아요,
367,H라운지,혼밥하기 좋아요,
368,토즈모임센터 광화문점,커피가 맛있어요,
369,토즈모임센터 광화문점,디저트가 맛있어요,
370,토즈모임센터 광화문점,빵이 맛있어요,
371,토즈모임센터 광화문점,친절해요,
372,토즈모임센터 광화문점,인테리어가 멋져요,
373,토즈모임센터 광화문점,매장이 청결해요,
374,토즈모임센터 광화문점,뷰가 좋아요,
375,토즈모임센터 광화문점,음료가 맛있어요,
376,토즈모임센터 광화문점,사진이 잘 나와요,
377,토즈모임센터 광화문점,특별한 메뉴가 있어요,
378,토즈모임센터 광화문점,대화하기 좋아요,
379,토즈모임센터 광화문점,가성비가 좋아요,
380,토즈모임센터 광화문점,집중하기 좋아요,
381,토즈모임센터 광화문점,화장실이 깨끗해요,
382,토즈모임센터 광화문점,주차하기 편해요,
383,토즈모임센터 광화문점,좌석이 편해요,
384,토즈모임센터 광화문점,음식이 맛있어요,
385,토즈모임센터 광화문점,매장이 넓어요,
386,토즈모임센터 광화문점,단체모임 하기 좋아요,
387,토즈모임센터 광화문점,특별한 날 가기 좋아요,
388,토즈모임센터 광화문점,재료가 신선해요,
